[µs]	Sample
0	0
706	1
722	0
733	1
749	0
759	1
775	0
785	1
801	0
811	1
827	0
837	1
853	0
863	1
880	0
890	1
906	0
916	1
961	0
969	1
985	0
994	1
1011	0
1022	1
1036	0
1047	1
1063	0
1074	1
1089	0
1099	1
1115	0
1152	1
1168	0
1178	1
1194	0
1204	1
1221	0
1231	1
1247	0
1268	1
1273	0
1283	1
1299	0
1309	1
1325	0
1335	1
1352	0
1362	1
1378	0
1388	1
1404	0
1414	1
1429	0
1441	1
1456	0
1467	1
1482	0
1493	1
1508	0
1519	1
1534	0
1546	1
1561	0
1572	1
1587	0
1597	1
1613	0
1623	1
1640	0
1650	1
1666	0
1676	1
1692	0
1702	1
1718	0
1728	1
1745	0
1755	1
1770	0
1781	1
1796	0
1808	1
1823	0
1834	1
1849	0
1860	1
1875	0
1885	1
1902	0
1912	1
1928	0
1938	1
1954	0
1964	1
1981	0
1991	1
2007	0
2017	1
2033	0
2043	1
2059	0
2069	1
2084	0
2096	1
2111	0
2122	1
2137	0
2148	1
2163	0
2175	1
2190	0
2201	1
2216	0
2227	1
2242	0
2252	1
2268	0
2279	1
2295	0
2311	1
2320	0
2331	1
2347	0
2358	1
2373	0
2384	1
2399	0
2410	1
2426	0
2437	1
2452	0
2462	1
2478	0
2488	1
2504	0
2514	1
2531	0
2541	1
2557	0
2567	1
2583	0
2593	1
2610	0
2620	1
2636	0
2646	1
2661	0
2672	1
2687	0
2699	1
2714	0
2725	1
2740	0
2751	1
2766	0
2777	1
2792	0
2804	1
2819	0
2829	1
2845	0
2855	1
2871	0
2881	1
2898	0
2908	1
2924	0
2934	1
2950	0
2960	1
2975	0
2987	1
3002	0
3013	1
3028	0
3039	1
3055	0
3065	1
3080	0
3092	1
3107	0
3118	1
3133	0
3144	1
3159	0
3170	1
3185	0
3197	1
3212	0
3223	1
3238	0
3248	1
3264	0
3274	1
3291	0
3301	1
3317	0
3327	1
3343	0
5031	1
5046	0
5056	1
5073	0
5083	1
5099	0
5109	1
5125	0
5135	1
5152	0
5162	1
5178	0
5188	1
5204	0
5214	1
5230	0
5274	1
5282	0
5293	1
5309	0
5319	1
5335	0
5346	1
5361	0
5372	1
5387	0
5397	1
5413	0
5423	1
5440	0
6708	1
6723	0
6734	1
6750	0
6761	1
6776	0
6787	1
6802	0
6813	1
6828	0
6838	1
6855	0
6865	1
6881	0
6891	1
6907	0
6917	1
6934	0
6944	1
6960	0
6970	1
6986	0
7023	1
7038	0
7049	1
7064	0
