[µs]	Sample
20431	0
20442	1
20457	0
20467	1
20483	0
20493	1
20509	0
20520	1
20536	0
20965	1
20981	0
20991	1
21008	0
21018	1
21034	0
21044	1
21060	0
21070	1
21087	0
21097	1
21112	0
21123	1
21138	0
21149	1
21164	0
21175	1
21190	0
21202	1
21217	0
21228	1
21243	0
21254	1
21269	0
21279	1
21296	0
21306	1
21322	0
21332	1
21348	0
21362	1
21374	0
21815	1
21820	0
21830	1
21846	0
21856	1
21873	0
21883	1
21899	0
21909	1
21924	0
21935	1
21950	0
21962	1
21977	0
21988	1
22003	0
22014	1
22029	0
22040	1
22055	0
22067	1
22082	0
22092	1
22108	0
22118	1
22143	0
22146	1
22160	0
22171	1
22187	0
22197	1
22213	0
23482	1
23497	0
23507	1
23523	0
23533	1
23550	0
23560	1
23576	0
23586	1
23602	0
23612	1
23629	0
23639	1
23655	0
23665	1
23685	0
23691	1
23707	0
23718	1
23733	0
23744	1
23759	0
23769	1
23785	0
23796	1
23814	0
23823	1
23838	0
23848	1
23864	0
23874	1
23890	0
25159	1
25174	0
25185	1
25201	0
25211	1
25227	0
25237	1
25254	0
25264	1
25279	0
25290	1
25305	0
25315	1
25332	0
25342	1
25358	0
25368	1
25385	0
25421	1
25436	0
25447	1
25462	0
25473	1
25488	0
25500	1
25515	0
25526	1
25541	0
25552	1
25567	0
25997	1
26013	0
26023	1
26039	0
26050	1
26066	0
26076	1
26092	0
26102	1
26118	0
26128	1
26145	0
26155	1
26170	0
26180	1
26196	0
26206	1
26223	0
26233	1
26249	0
26259	1
26275	0
26285	1
26302	0
26312	1
26328	0
26338	1
26354	0
26364	1
26379	0
26391	1
26406	0
27674	1
27691	0
27701	1
27717	0
27727	1
27743	0
27753	1
27770	0
27780	1
27795	0
27806	1
27848	0
27858	1
27874	0
27884	1
27900	0
27910	1
27927	0
27937	1
27952	0
27963	1
27978	0
27989	1
28004	0
28016	1
28031	0
28042	1
28057	0
28068	1
28084	0
29352	1
29367	0
29378	1
29393	0
29405	1
29420	0
29431	1
29446	0
29457	1
29472	0
29482	1
29499	0
29509	1
29525	0
29535	1
29551	0
29561	1
29578	0
29588	1
29604	0
29614	1
29630	0
29640	1
29656	0
29666	1
29681	0
29693	1
29708	0
29719	1
29734	0
29745	1
29760	0
30191	1
30207	0
30217	1
30232	0
30243	1
30258	0
30269	1
30284	0
30296	1
30311	0
30322	1
30337	0
30348	1
30363	0
30373	1
30390	0
30400	1
30416	0
30426	1
30442	0
30452	1
30469	0
30479	1
30495	0
30505	1
30521	0
30531	1
30546	0
30558	1
30573	0
30584	1
30599	0
31029	1
31045	0
31055	1
31072	0
31082	1
31098	0
31108	1
31123	0
31134	1
31149	0
31160	1
31175	0
31187	1
31202	0
31213	1
31228	0
31239	1
31254	0
31266	1
31281	0
31291	1
31307	0
31317	1
31333	0
31343	1
31360	0
31370	1
31389	0
31397	1
31412	0
31422	1
31438	0
32706	1
32728	0
32733	1
32748	0
32759	1
32774	0
32785	1
32800	0
32812	1
32827	0
32838	1
32853	0
32864	1
32879	0
32891	1
32906	0
32916	1
32932	0
32942	1
32958	0
32968	1
32984	0
32994	1
33011	0
33021	1
33037	0
33047	1
33063	0
33073	1
33090	0
33100	1
33115	0
33545	1
33561	0
33571	1
33587	0
33597	1
33613	0
33623	1
33640	0
33650	1
33666	0
33676	1
33692	0
33702	1
33717	0
33729	1
33744	0
33755	1
33770	0
33781	1
33796	0
33808	1
33823	0
33834	1
33849	0
33860	1
33875	0
33885	1
33901	0
33911	1
33928	0
33938	1
33954	0
34383	1
34400	0
34410	1
34426	0
34436	1
34452	0
34462	1
34479	0
34489	1
34504	0
34515	1
34530	0
34541	1
34556	0
34568	1
34583	0
34619	1
34635	0
34646	1
34661	0
34672	1
34688	0
34698	1
34714	0
34725	1
34740	0
34751	1
34766	0
34777	1
34792	0
36061	1
36077	0
36087	1
36103	0
36113	1
36130	0
36140	1
36156	0
36166	1
36181	0
36192	1
36207	0
36218	1
36234	0
36245	1
36260	0
36271	1
36286	0
36297	1
36312	0
36324	1
36339	0
36349	1
36365	0
36375	1
36391	0
36401	1
36418	0
36428	1
36444	0
36454	1
36470	0
36900	1
36915	0
36926	1
36941	0
36952	1
36968	0
36979	1
36994	0
37005	1
37020	0
37030	1
37046	0
37056	1
37073	0
37083	1
37099	0
37109	1
37125	0
37135	1
37152	0
37162	1
37178	0
37188	1
37203	0
37214	1
37233	0
37241	1
37256	0
37266	1
37282	0
37292	1
37309	0
37738	1
37754	0
37764	1
37781	0
