[µs]	Sample
0	0
287	1
303	0
314	1
329	0
339	1
355	0
366	1
382	0
392	1
407	0
419	1
434	0
444	1
460	0
470	1
486	0
497	1
512	0
550	1
565	0
576	1
591	0
602	1
617	0
627	1
644	0
654	1
670	0
680	1
696	0
706	1
723	0
732	1
749	0
759	1
775	0
785	1
800	0
811	1
826	0
838	1
853	0
864	1
879	0
890	1
905	0
918	1
931	0
943	1
958	0
969	1
984	0
995	1
1010	0
1021	1
1037	0
1047	1
1063	0
1073	1
1089	0
1099	1
1115	0
1125	1
1142	0
1152	1
1168	0
1178	1
1194	0
1204	1
1220	0
1230	1
1247	0
1257	1
1273	0
1290	1
1298	0
1310	1
1325	0
1336	1
1351	0
1362	1
1377	0
1387	1
1404	0
1414	1
1430	0
1441	1
1456	0
1466	1
1482	0
1492	1
1509	0
1519	1
1535	0
1545	1
1561	0
1571	1
1587	0
1597	1
1613	0
1623	1
1640	0
1650	1
1667	0
1676	1
1692	0
1702	1
1718	0
1728	1
1745	0
1755	1
1771	0
1781	1
1797	0
1808	1
1823	0
1833	1
1849	0
1862	1
1876	0
1886	1
1901	0
1912	1
1928	0
1938	1
1954	0
1965	1
1980	0
1991	1
2006	0
2017	1
2032	0
2043	1
2059	0
2070	1
2085	0
2096	1
2111	0
2121	1
2137	0
2147	1
2164	0
2173	1
2190	0
2200	1
2216	0
2226	1
2242	0
2252	1
2269	0
2279	1
2295	0
2305	1
2321	0
2331	1
2347	0
2357	1
2374	0
2384	1
2400	0
2410	1
2426	0
2436	1
2452	0
2462	1
2479	0
2489	1
2505	0
2515	1
2530	0
2542	1
2556	0
2567	1
2582	0
2594	1
2610	0
2619	1
2635	0
2646	1
2661	0
2672	1
2687	0
2699	1
2714	0
2725	1
2740	0
2751	1
2766	0
2776	1
2792	0
2804	1
2819	0
2830	1
2845	0
2855	1
2871	0
2881	1
2897	0
2907	1
2923	0
2934	1
2950	0
2960	1
2976	0
2986	1
3002	0
3012	1
3029	0
3039	1
3055	0
3065	1
3081	0
3091	1
3108	0
3118	1
3133	0
3144	1
3159	0
3170	1
3186	0
3196	1
3212	0
3223	1
3238	0
3248	1
3265	0
3274	1
3290	0
3300	1
3317	0
3327	1
3343	0
5031	1
5046	0
5057	1
5072	0
5084	1
5099	0
5110	1
5125	0
5135	1
5151	0
5161	1
5177	0
5189	1
5204	0
5214	1
5230	0
5243	1
5255	0
5266	1
5282	0
5293	1
5309	0
5319	1
5335	0
5345	1
5361	0
5371	1
5387	0
5397	1
5414	0
5423	1
5440	0
6708	1
6724	0
6734	1
6750	0
6760	1
6777	0
6787	1
6803	0
6813	1
6829	0
6839	1
6855	0
6865	1
6881	0
6891	1
6907	0
6919	1
6934	0
6944	1
6959	0
6970	1
6985	0
6996	1
7011	0
7023	1
7038	0
7049	1
7064	0
7075	1
7090	0
7102	1
7117	0
8385	1
8401	0
8411	1
8427	0
8437	1
8453	0
8464	1
8480	0
8495	1
8506	0
8517	1
8532	0
8543	1
8558	0
8568	1
8584	0
8594	1
8611	0
8621	1
8637	0
8647	1
8663	0
8673	1
8689	0
8699	1
8716	0
8726	1
8742	0
8752	1
8768	0
8778	1
8794	0
9224	1
9240	0
9250	1
9266	0
9276	1
9294	0
9302	1
9319	0
9329	1
9344	0
9355	1
9370	0
9381	1
9396	0
9408	1
9423	0
9434	1
9449	0
9460	1
9475	0
9486	1
9501	0
9513	1
9528	0
9538	1
9554	0
9565	1
9580	0
9591	1
9606	0
9616	1
9633	0
10063	1
10078	0
10089	1
10104	0
10115	1
10130	0
10142	1
10157	0
10169	1
10183	0
10194	1
10209	0
10220	1
10235	0
10246	1
10261	0
10272	1
10288	0
10299	1
10314	0
10325	1
10340	0
10351	1
10366	0
10376	1
10393	0
10403	1
10419	0
10429	1
10445	0
10455	1
10471	0
10901	1
10918	0
10927	1
10943	0
10953	1
10969	0
10979	1
