[µs]	Sample
20431	0
20441	1
20457	0
20467	1
20483	0
20493	1
20510	0
20520	1
20536	0
20965	1
20982	0
20992	1
21007	0
21018	1
21033	0
21044	1
21059	0
21071	1
21086	0
21097	1
21112	0
21123	1
21138	0
21149	1
21164	0
21174	1
21191	0
21201	1
21217	0
21227	1
21243	0
21253	1
21270	0
21280	1
21296	0
21306	1
21322	0
21332	1
21349	0
21359	1
21375	0
21804	1
21820	0
21830	1
21846	0
21856	1
21873	0
21883	1
21899	0
21909	1
21924	0
21935	1
21950	0
21962	1
21977	0
21988	1
22003	0
22014	1
22029	0
22040	1
22055	0
22065	1
22082	0
22092	1
22109	0
22118	1
22134	0
22145	1
22160	0
22171	1
22186	0
22197	1
22213	0
23481	1
23497	0
23507	1
23524	0
23545	1
23549	0
23559	1
23576	0
23586	1
23602	0
23612	1
23628	0
23638	1
23654	0
23665	1
23681	0
23691	1
23707	0
23717	1
23733	0
23743	1
23760	0
23770	1
23785	0
23796	1
23811	0
23822	1
23837	0
23849	1
23864	0
23875	1
23890	0
25159	1
25174	0
25185	1
25200	0
25212	1
25227	0
25238	1
25253	0
25263	1
25279	0
25289	1
25305	0
25315	1
25332	0
25342	1
25358	0
25395	1
25410	0
25421	1
25437	0
25446	1
25463	0
25473	1
25488	0
25499	1
25515	0
25525	1
25541	0
25551	1
25568	0
25997	1
26012	0
26024	1
26039	0
26050	1
26065	0
26076	1
26091	0
26102	1
26117	0
26128	1
26143	0
26155	1
26170	0
26181	1
26196	0
26207	1
26222	0
26234	1
26249	0
26259	1
26275	0
26285	1
26301	0
26311	1
26328	0
26338	1
26354	0
26364	1
26380	0
26390	1
26406	0
27674	1
27690	0
27700	1
27717	0
27727	1
27743	0
27753	1
27769	0
27779	1
27795	0
27806	1
27822	0
27832	1
27847	0
27858	1
27873	0
27884	1
27899	0
27911	1
27926	0
27937	1
27952	0
27963	1
27978	0
27988	1
28005	0
28015	1
28031	0
28042	1
28057	0
28068	1
28084	0
29352	1
29367	0
29378	1
29394	0
29404	1
29420	0
29431	1
29446	0
29456	1
29472	0
29482	1
29499	0
29509	1
29525	0
29535	1
29551	0
29561	1
29578	0
29588	1
29604	0
29614	1
29630	0
29640	1
29655	0
29666	1
29681	0
29693	1
29708	0
29719	1
29734	0
29745	1
29760	0
30191	1
30206	0
30217	1
30232	0
30243	1
30258	0
30270	1
30285	0
30296	1
30311	0
30321	1
30337	0
30347	1
30363	0
30373	1
30390	0
30400	1
30416	0
30426	1
30442	0
30452	1
30469	0
30479	1
30495	0
30505	1
30520	0
30531	1
30546	0
30558	1
30573	0
30584	1
30599	0
31029	1
31044	0
31056	1
31071	0
31082	1
31097	0
31108	1
31123	0
31134	1
31149	0
31161	1
31176	0
31186	1
31202	0
31212	1
31228	0
31238	1
31255	0
31265	1
31281	0
31291	1
31307	0
31317	1
31333	0
31344	1
31359	0
31370	1
31385	0
31396	1
31437	0
32706	1
32721	0
32733	1
32748	0
32759	1
32774	0
32785	1
32800	0
32812	1
32827	0
32838	1
32853	0
32863	1
32879	0
32889	1
32906	0
32916	1
32932	0
32942	1
32958	0
32968	1
32984	0
32994	1
33011	0
33021	1
33037	0
33047	1
33062	0
33073	1
33088	0
33100	1
33115	0
33545	1
33561	0
33571	1
33587	0
33597	1
33614	0
33624	1
33640	0
33650	1
33665	0
33676	1
33691	0
33702	1
33718	0
33729	1
33744	0
33755	1
33770	0
33781	1
33796	0
33806	1
33823	0
33833	1
33849	0
33859	1
33875	0
33885	1
33902	0
33912	1
33928	0
33938	1
33954	0
34384	1
34400	0
34410	1
34425	0
34436	1
34451	0
34463	1
34478	0
34489	1
34504	0
34515	1
34530	0
34541	1
34556	0
34593	1
34609	0
34620	1
34635	0
34646	1
34661	0
34672	1
34688	0
34698	1
34713	0
34725	1
34740	0
34751	1
34766	0
34777	1
34792	0
36061	1
36076	0
36088	1
36103	0
36113	1
36129	0
36139	1
36155	0
36165	1
36182	0
36192	1
36208	0
36218	1
36234	0
36244	1
36260	0
36270	1
36287	0
36297	1
36312	0
36323	1
36338	0
36349	1
36364	0
36376	1
36391	0
36402	1
36417	0
36428	1
36443	0
36453	1
36470	0
36900	1
36915	0
36926	1
36941	0
36952	1
36967	0
36979	1
36994	0
37004	1
37020	0
37030	1
37046	0
37056	1
37073	0
37083	1
37099	0
37109	1
37125	0
37135	1
37152	0
37162	1
37178	0
37188	1
37203	0
37214	1
37229	0
37240	1
37256	0
37267	1
37282	0
37293	1
37308	0
37738	1
37753	0
37765	1
37780	0
37791	1
37806	0
37817	1
37832	0
37844	1
37859	0
37869	1
37885	0
37895	1
37911	0
37921	1
37937	0
37947	1
37966	0
37974	1
37990	0
38000	1
38015	0
38027	1
38042	0
38053	1
38068	0
38079	1
38094	0
38105	1
38120	0
38132	1
38147	0
38577	1
38593	0
38602	1
38619	0
38630	1
38644	0
38656	1
38671	0
38682	1
38697	0
38708	1
38723	0
38735	1
38750	0
38761	1
38776	0
38786	1
38802	0
38812	1
38828	0
38838	1
38855	0
38865	1
38881	0
38891	1
38907	0
38917	1
38934	0
38944	1
38960	0
38970	1
38985	0
39429	1
39431	0
39441	1
39458	0
39468	1
39484	0
39494	1
39509	0
