[µs]	Sample
0	0
287	1
303	0
313	1
331	0
339	1
355	0
365	1
381	0
391	1
408	0
417	1
434	0
445	1
460	0
471	1
486	0
497	1
512	0
548	1
565	0
576	1
591	0
602	1
617	0
627	1
643	0
654	1
669	0
679	1
696	0
706	1
722	0
732	1
748	0
758	1
774	0
784	1
801	0
811	1
827	0
837	1
853	0
863	1
879	0
889	1
906	0
916	1
932	0
942	1
958	0
968	1
983	0
994	1
1009	0
1021	1
1036	0
1047	1
1062	0
1073	1
1088	0
1099	1
1114	0
1126	1
1141	0
1152	1
1167	0
1178	1
1193	0
1206	1
1219	0
1231	1
1246	0
1257	1
1272	0
1283	1
1298	0
1309	1
1324	0
1336	1
1351	0
1361	1
1377	0
1387	1
1403	0
1413	1
1430	0
1440	1
1456	0
1466	1
1482	0
1492	1
1508	0
1518	1
1534	0
1544	1
1561	0
1571	1
1587	0
1597	1
1613	0
1623	1
1639	0
1650	1
1665	0
1676	1
1691	0
1702	1
1718	0
1728	1
1743	0
1754	1
1769	0
1781	1
1796	0
1807	1
1822	0
1833	1
1849	0
1867	1
1875	0
1885	1
1901	0
1911	1
1927	0
1937	1
1955	0
1964	1
1979	0
1991	1
2006	0
2017	1
2032	0
2042	1
2058	0
2068	1
2085	0
2095	1
2111	0
2121	1
2137	0
2147	1
2163	0
2174	1
2190	0
2200	1
2215	0
2226	1
2241	0
2252	1
2268	0
2279	1
2294	0
2305	1
2320	0
2331	1
2346	0
2357	1
2372	0
2384	1
2399	0
2410	1
2425	0
2435	1
2451	0
2462	1
2478	0
2488	1
2504	0
2514	1
2530	0
2540	1
2556	0
2566	1
2582	0
2592	1
2608	0
2619	1
2635	0
2645	1
2661	0
2671	1
2688	0
2698	1
2714	0
2724	1
2740	0
2750	1
2766	0
2776	1
2791	0
2803	1
2818	0
2830	1
2845	0
2855	1
2870	0
2881	1
2896	0
2908	1
2923	0
2934	1
2949	0
2960	1
2975	0
2986	1
3001	0
3013	1
3028	0
3039	1
3054	0
3065	1
3081	0
3091	1
3106	0
3117	1
3133	0
3143	1
3159	0
3169	1
3186	0
3195	1
3211	0
3222	1
3237	0
3248	1
3264	0
3274	1
3290	0
3300	1
3316	0
3326	1
3342	0
5030	1
5046	0
5056	1
5072	0
5082	1
5099	0
5109	1
5125	0
5135	1
5150	0
5161	1
5176	0
5188	1
5203	0
5214	1
5229	0
5243	1
5255	0
5267	1
5282	0
5293	1
5308	0
5318	1
5334	0
5345	1
5360	0
5370	1
5387	0
5397	1
5413	0
5423	1
5439	0
6708	1
6723	0
6734	1
6749	0
6759	1
6776	0
6786	1
6802	0
6812	1
6828	0
6839	1
6854	0
6864	1
6880	0
6890	1
6907	0
6917	1
6933	0
6943	1
6959	0
6969	1
6985	0
6995	1
7012	0
7022	1
7038	0
7048	1
7064	0
7074	1
7091	0
7101	1
7116	0
8384	1
8400	0
8410	1
8427	0
8437	1
8453	0
8463	1
8479	0
8489	1
8505	0
8516	1
8532	0
8541	1
8558	0
8569	1
8585	0
8594	1
8610	0
8620	1
8637	0
8647	1
8663	0
8673	1
8689	0
8699	1
8715	0
8725	1
8740	0
8752	1
8767	0
8778	1
8793	0
9223	1
9246	0
9250	1
9265	0
9276	1
9291	0
9302	1
9317	0
9329	1
9343	0
9355	1
9370	0
9381	1
9396	0
9407	1
9422	0
9434	1
9449	0
9460	1
9475	0
9486	1
9501	0
9512	1
9527	0
9538	1
9554	0
9564	1
9581	0
9591	1
9606	0
9616	1
9632	0
10062	1
10078	0
10088	1
10104	0
10114	1
10131	0
10141	1
10157	0
10167	1
10182	0
10193	1
10209	0
10219	1
10234	0
10246	1
10261	0
10272	1
10287	0
10298	1
10313	0
10324	1
10339	0
10351	1
10366	0
10377	1
10392	0
10403	1
10418	0
10429	1
10444	0
10454	1
10470	0
10900	1
10917	0
10927	1
10943	0
10953	1
10969	0
10979	1
