[µs]	Sample
0	0
692	1
696	0
706	1
722	0
733	1
748	0
759	1
774	0
785	1
800	0
812	1
827	0
838	1
853	0
864	1
879	0
890	1
905	0
942	1
958	0
969	1
984	0
994	1
1011	0
1021	1
1036	0
1047	1
1062	0
1074	1
1089	0
1100	1
1115	0
1126	1
1141	0
1152	1
1167	0
1179	1
1194	0
1205	1
1220	0
1230	1
1246	0
1256	1
1273	0
1283	1
1299	0
1309	1
1325	0
1335	1
1351	0
1361	1
1378	0
1388	1
1404	0
1414	1
1430	0
1440	1
1455	0
1466	1
1482	0
1493	1
1508	0
1519	1
1534	0
1545	1
1560	0
1572	1
1587	0
1598	1
1613	0
1624	1
1639	0
1649	1
1666	0
1680	1
1691	0
1702	1
1718	0
1728	1
1744	0
1754	1
1771	0
1781	1
1797	0
1807	1
1822	0
1833	1
1848	0
1860	1
1875	0
1886	1
1901	0
1912	1
1927	0
1939	1
1954	0
1965	1
1980	0
1990	1
2006	0
2016	1
2033	0
2043	1
2059	0
2069	1
2085	0
2095	1
2111	0
2121	1
2138	0
2148	1
2164	0
2174	1
2189	0
2200	1
2215	0
2227	1
2248	0
2253	1
2268	0
2279	1
2295	0
2304	1
2321	0
2332	1
2347	0
2357	1
2374	0
2384	1
2399	0
2410	1
2425	0
2436	1
2451	0
2463	1
2478	0
2489	1
2504	0
2515	1
2530	0
2541	1
2556	0
2567	1
2583	0
2593	1
2609	0
2619	1
2635	0
2645	1
2662	0
2672	1
2688	0
2698	1
2714	0
2724	1
2741	0
2751	1
2766	0
2777	1
2792	0
2803	1
2818	0
2830	1
2845	0
2856	1
2871	0
2882	1
2897	0
2907	1
2923	0
2933	1
2950	0
2960	1
2976	0
2987	1
3003	0
3013	1
3055	0
3065	1
3081	0
3091	1
3107	0
3117	1
3133	0
3144	1
3159	0
3170	1
3185	0
3196	1
3211	0
3223	1
3238	0
3249	1
3264	0
3275	1
3290	0
3300	1
3317	0
3327	1
3343	0
5031	1
5046	0
5056	1
5073	0
5083	1
5099	0
5109	1
5125	0
5135	1
5151	0
5161	1
5178	0
5188	1
5204	0
5214	1
5229	0
5240	1
5255	0
5267	1
5282	0
5293	1
5308	0
5319	1
5334	0
5346	1
5361	0
5372	1
5387	0
5397	1
5413	0
5423	1
5439	0
6707	1
6724	0
6734	1
6750	0
6760	1
6776	0
6786	1
6803	0
6813	1
6828	0
6839	1
6855	0
6865	1
6881	0
6891	1
6907	0
6918	1
6933	0
6943	1
6966	0
6970	1
6985	0
6996	1
7012	0
7022	1
7039	0
7049	1
7064	0
7075	1
7090	0
7101	1
7117	0
8385	1
8401	0
8411	1
8426	0
8438	1
8453	0
8463	1
8480	0
8490	1
8506	0
8516	1
8532	0
8543	1
8558	0
8568	1
8585	0
8595	1
8610	0
8621	1
8637	0
8647	1
8663	0
8673	1
8688	0
8700	1
8715	0
8726	1
8742	0
8752	1
8768	0
8778	1
8793	0
