[µs]	Sample
21845	0
21855	1
21872	0
21882	1
21898	0
21908	1
21924	0
21934	1
21951	0
21961	1
21977	0
21987	1
22002	0
22013	1
22028	0
22040	1
22055	0
22066	1
22081	0
22092	1
22107	0
22119	1
22134	0
22145	1
22160	0
22170	1
22186	0
22196	1
22216	0
23481	1
23496	0
23507	1
23522	0
23534	1
23551	0
23559	1
23575	0
23586	1
23601	0
23612	1
23628	0
23637	1
23654	0
23664	1
23680	0
23691	1
23706	0
23717	1
23732	0
23743	1
23758	0
23769	1
23784	0
23796	1
23811	0
23822	1
23837	0
23847	1
23863	0
23873	1
23890	0
25158	1
25174	0
25184	1
25201	0
25211	1
25226	0
25237	1
25252	0
25263	1
25278	0
25289	1
25304	0
25316	1
25331	0
25342	1
25357	0
25367	1
25383	0
25393	1
25410	0
25420	1
25436	0
25446	1
25462	0
25472	1
25489	0
25499	1
25515	0
25525	1
25540	0
25551	1
25566	0
25996	1
26013	0
26023	1
26039	0
26049	1
26065	0
26075	1
26091	0
26102	1
26118	0
26128	1
26143	0
26154	1
26173	0
26180	1
26196	0
26206	1
26222	0
26232	1
26249	0
26259	1
26275	0
26285	1
26300	0
26311	1
26326	0
26338	1
26353	0
26364	1
26379	0
26390	1
26405	0
27674	1
27689	0
27700	1
27716	0
27727	1
27742	0
27753	1
27768	0
27778	1
27794	0
27804	1
27821	0
27831	1
27847	0
27857	1
27873	0
27883	1
27900	0
27910	1
27926	0
27936	1
27951	0
27962	1
27977	0
27989	1
28004	0
28015	1
28030	0
28041	1
28056	0
28066	1
28083	0
29351	1
29367	0
29378	1
29393	0
29404	1
29419	0
29430	1
29445	0
29455	1
29472	0
29482	1
29498	0
29510	1
29524	0
29534	1
29550	0
29560	1
29577	0
29587	1
29603	0
29613	1
29629	0
29639	1
29655	0
29666	1
29682	0
29692	1
29708	0
29718	1
29733	0
29744	1
29759	0
30189	1
30206	0
30216	1
30232	0
30242	1
30258	0
30268	1
30285	0
30326	1
30336	0
30348	1
30363	0
30374	1
30389	0
30399	1
30415	0
30425	1
30441	0
30451	1
30468	0
30478	1
30494	0
30504	1
30520	0
30530	1
30547	0
30557	1
30572	0
30583	1
30598	0
31028	1
31045	0
31055	1
31071	0
31081	1
31096	0
31133	1
31149	0
31159	1
31175	0
31185	1
31202	0
31212	1
31228	0
31250	1
31254	0
31264	1
31280	0
31290	1
31307	0
31317	1
31333	0
31343	1
31358	0
31369	1
31384	0
31396	1
31411	0
31422	1
31437	0
32706	1
32721	0
32732	1
32747	0
32759	1
