[µs]	Sample
0	0
268	1
276	0
286	1
303	0
314	1
328	0
339	1
356	0
366	1
381	0
391	1
407	0
418	1
434	0
444	1
460	0
470	1
486	0
497	1
539	0
548	1
565	0
575	1
591	0
602	1
617	0
627	1
643	0
653	1
670	0
681	1
696	0
706	1
722	0
732	1
748	0
758	1
774	0
784	1
801	0
811	1
827	0
837	1
853	0
863	1
879	0
889	1
906	0
916	1
932	0
942	1
958	0
968	1
984	0
994	1
1010	0
1021	1
1037	0
1048	1
1063	0
1073	1
1089	0
1099	1
1115	0
1125	1
1142	0
1152	1
1167	0
1178	1
1194	0
1204	1
1220	0
1230	1
1245	0
1257	1
1272	0
1282	1
1299	0
1309	1
1324	0
1335	1
1350	0
1362	1
1377	0
1388	1
1403	0
1414	1
1429	0
1440	1
1455	0
1467	1
1482	0
1493	1
1508	0
1518	1
1534	0
1544	1
1560	0
1571	1
1587	0
1597	1
1613	0
1623	1
1639	0
1649	1
1666	0
1675	1
1692	0
1702	1
1718	0
1728	1
1744	0
1754	1
1771	0
1781	1
1798	0
1807	1
1823	0
1833	1
1849	0
1860	1
1875	0
1886	1
1901	0
1911	1
1928	0
1938	1
1954	0
1964	1
1979	0
1990	1
2005	0
2017	1
2032	0
2043	1
2058	0
2069	1
2084	0
2095	1
2110	0
2122	1
2137	0
2148	1
2163	0
2174	1
2189	0
2200	1
2215	0
2227	1
2242	0
2253	1
2268	0
2279	1
2294	0
2305	1
2320	0
2332	1
2347	0
2357	1
2373	0
2383	1
2399	0
2409	1
2425	0
2435	1
2452	0
2462	1
2478	0
2488	1
2504	0
2514	1
2530	0
2540	1
2557	0
2567	1
2587	0
2593	1
2609	0
2619	1
2636	0
2646	1
2661	0
2673	1
2688	0
2698	1
2713	0
2724	1
2739	0
2751	1
2766	0
2777	1
2792	0
2803	1
2818	0
2829	1
2844	0
2856	1
2871	0
2882	1
2897	0
2907	1
2923	0
2934	1
2949	0
2959	1
2976	0
2986	1
3002	0
3012	1
3028	0
3038	1
3054	0
3064	1
3081	0
3091	1
3107	0
3117	1
3133	0
3143	1
3159	0
3170	1
3185	0
3196	1
3212	0
3223	1
3238	0
3248	1
3264	0
3274	1
3291	0
3300	1
3317	0
3327	1
3343	0
5031	1
5046	0
5057	1
5072	0
5083	1
5098	0
5110	1
5125	0
5136	1
5151	0
5161	1
5177	0
5188	1
5210	0
5214	1
5229	0
5240	1
5255	0
5267	1
5282	0
5293	1
5308	0
5318	1
5334	0
5344	1
5361	0
5371	1
5387	0
5397	1
5413	0
5423	1
5439	0
6708	1
6723	0
6734	1
6749	0
6759	1
6776	0
6786	1
6802	0
6812	1
6828	0
6838	1
6855	0
6865	1
6881	0
6891	1
6907	0
6917	1
6933	0
6943	1
6960	0
6970	1
6986	0
6996	1
7011	0
7022	1
7037	0
7048	1
7065	0
7075	1
7090	0
7100	1
7117	0
8385	1
8400	0
8411	1
8427	0
8437	1
8453	0
8463	1
8480	0
8490	1
8506	0
8516	1
8532	0
8542	1
8558	0
8568	1
8583	0
8595	1
8610	0
8621	1
8636	0
8647	1
8662	0
8674	1
8689	0
8699	1
8715	0
8725	1
8741	0
8751	1
8768	0
8778	1
8794	0
9223	1
9239	0
9249	1
9266	0
9276	1
9292	0
9302	1
9318	0
9328	1
9344	0
9354	1
9371	0
9381	1
9397	0
9407	1
9424	0
9433	1
9449	0
9459	1
9476	0
9486	1
9502	0
9512	1
9527	0
9538	1
9554	0
9564	1
9579	0
9591	1
9606	0
9617	1
9632	0
10063	1
10078	0
10088	1
10104	0
10114	1
10130	0
10140	1
10157	0
10167	1
10183	0
10193	1
10209	0
10219	1
10235	0
10245	1
10262	0
10272	1
10288	0
10299	1
10314	0
10324	1
10340	0
10350	1
10367	0
10377	1
10392	0
10403	1
10418	0
10429	1
10444	0
10455	1
10470	0
10901	1
10916	0
10927	1
10942	0
10954	1
10969	0
10980	1
10995	0
11005	1
11021	0
11031	1
11049	0
11058	1
11074	0
11092	1
11100	0
11111	1
11126	0
11137	1
11153	0
11162	1
11179	0
11189	1
11204	0
11216	1
11231	0
11242	1
11257	0
11268	1
11283	0
11294	1
11309	0
12577	1
12594	0
12604	1
12620	0
12630	1
12646	0
12656	1
12674	0
12682	1
12699	0
12709	1
12725	0
12735	1
12751	0
12761	1
12778	0
12788	1
12804	0
12814	1
12830	0
12840	1
12855	0
12866	1
12882	0
12893	1
12908	0
12919	1
12934	0
12945	1
12960	0
12972	1
12987	0
13417	1
13432	0
13443	1
13458	0
13470	1
13485	0
13495	1
13511	0
13521	1
13537	0
13548	1
13564	0
13574	1
13590	0
13600	1
13616	0
13626	1
13643	0
13653	1
